,FIPS,JAN22 SNAP Households,State Name,County Name,Sep22 ACP Total Subscribers
0,01001,3545.0,ALABAMA,AUTAUGA COUNTY,2944.0
1,01003,9474.0,ALABAMA,BALDWIN COUNTY,3603.0
2,01005,2848.0,ALABAMA,BARBOUR COUNTY,2764.0
3,01007,1706.0,ALABAMA,BIBB COUNTY,697.0
4,01009,3004.0,ALABAMA,BLOUNT COUNTY,1799.0
5,01011,1297.0,ALABAMA,BULLOCK COUNTY,600.0
6,01013,2486.0,ALABAMA,BUTLER COUNTY,1950.0
7,01015,10048.0,ALABAMA,CALHOUN COUNTY,5441.0
8,01017,3443.0,ALABAMA,CHAMBERS COUNTY,3414.0
9,01019,1851.0,ALABAMA,CHEROKEE COUNTY,1059.0
10,01021,3512.0,ALABAMA,CHILTON COUNTY,1276.0
11,01023,1606.0,ALABAMA,CHOCTAW COUNTY,726.0
12,01025,2856.0,ALABAMA,CLARKE COUNTY,1868.0
13,01027,799.0,ALABAMA,CLAY COUNTY,639.0
14,01029,1273.0,ALABAMA,CLEBURNE COUNTY,315.0
15,01031,3563.0,ALABAMA,COFFEE COUNTY,3092.0
16,01033,3841.0,ALABAMA,COLBERT COUNTY,2830.0
17,01035,1539.0,ALABAMA,CONECUH COUNTY,706.0
18,01037,966.0,ALABAMA,COOSA COUNTY,628.0
19,01039,3520.0,ALABAMA,COVINGTON COUNTY,1748.0
20,01041,1579.0,ALABAMA,CRENSHAW COUNTY,691.0
21,01043,4374.0,ALABAMA,CULLMAN COUNTY,4324.0
22,01045,4719.0,ALABAMA,DALE COUNTY,3530.0
23,01047,6973.0,ALABAMA,DALLAS COUNTY,5782.0
24,01049,5824.0,ALABAMA,DEKALB COUNTY,3657.0
25,01051,4485.0,ALABAMA,ELMORE COUNTY,4386.0
26,01053,3736.0,ALABAMA,ESCAMBIA COUNTY,1984.0
27,01055,8241.0,ALABAMA,ETOWAH COUNTY,5764.0
28,01057,1710.0,ALABAMA,FAYETTE COUNTY,885.0
29,01059,2346.0,ALABAMA,FRANKLIN COUNTY,2264.0
30,01061,2350.0,ALABAMA,GENEVA COUNTY,2170.0
31,01063,1324.0,ALABAMA,GREENE COUNTY,522.0
32,01065,2044.0,ALABAMA,HALE COUNTY,1224.0
33,01067,1575.0,ALABAMA,HENRY COUNTY,742.0
34,01069,10035.0,ALABAMA,HOUSTON COUNTY,6779.0
35,01071,3358.0,ALABAMA,JACKSON COUNTY,2063.0
36,01073,53743.0,ALABAMA,JEFFERSON COUNTY,47677.0
