,Data Month,FIPS,State,State Name,County Name,Jan22 ACP Total Households
0,2022-01-01,01001,AL,ALABAMA,AUTAUGA COUNTY,1934
1,2022-01-01,01003,AL,ALABAMA,BALDWIN COUNTY,2766
2,2022-01-01,01005,AL,ALABAMA,BARBOUR COUNTY,1743
3,2022-01-01,01007,AL,ALABAMA,BIBB COUNTY,500
4,2022-01-01,01009,AL,ALABAMA,BLOUNT COUNTY,1073
5,2022-01-01,01011,AL,ALABAMA,BULLOCK COUNTY,391
6,2022-01-01,01013,AL,ALABAMA,BUTLER COUNTY,1512
7,2022-01-01,01015,AL,ALABAMA,CALHOUN COUNTY,3560
8,2022-01-01,01017,AL,ALABAMA,CHAMBERS COUNTY,2435
9,2022-01-01,01019,AL,ALABAMA,CHEROKEE COUNTY,792
10,2022-01-01,01021,AL,ALABAMA,CHILTON COUNTY,924
11,2022-01-01,01023,AL,ALABAMA,CHOCTAW COUNTY,486
12,2022-01-01,01025,AL,ALABAMA,CLARKE COUNTY,976
13,2022-01-01,01027,AL,ALABAMA,CLAY COUNTY,435
14,2022-01-01,01029,AL,ALABAMA,CLEBURNE COUNTY,241
15,2022-01-01,01031,AL,ALABAMA,COFFEE COUNTY,2225
16,2022-01-01,01033,AL,ALABAMA,COLBERT COUNTY,1666
17,2022-01-01,01035,AL,ALABAMA,CONECUH COUNTY,569
18,2022-01-01,01037,AL,ALABAMA,COOSA COUNTY,366
19,2022-01-01,01039,AL,ALABAMA,COVINGTON COUNTY,1508
20,2022-01-01,01041,AL,ALABAMA,CRENSHAW COUNTY,682
21,2022-01-01,01043,AL,ALABAMA,CULLMAN COUNTY,2586
22,2022-01-01,01045,AL,ALABAMA,DALE COUNTY,2650
23,2022-01-01,01047,AL,ALABAMA,DALLAS COUNTY,4971
24,2022-01-01,01049,AL,ALABAMA,DEKALB COUNTY,2068
25,2022-01-01,01051,AL,ALABAMA,ELMORE COUNTY,2847
26,2022-01-01,01053,AL,ALABAMA,ESCAMBIA COUNTY,1438
27,2022-01-01,01055,AL,ALABAMA,ETOWAH COUNTY,3675
28,2022-01-01,01057,AL,ALABAMA,FAYETTE COUNTY,527
29,2022-01-01,01059,AL,ALABAMA,FRANKLIN COUNTY,1381
30,2022-01-01,01061,AL,ALABAMA,GENEVA COUNTY,1556
31,2022-01-01,01063,AL,ALABAMA,GREENE COUNTY,304
32,2022-01-01,01065,AL,ALABAMA,HALE COUNTY,611
33,2022-01-01,01067,AL,ALABAMA,HENRY COUNTY,560
34,2022-01-01,01069,AL,ALABAMA,HOUSTON COUNTY,5018
35,2022-01-01,01071,AL,ALABAMA,JACKSON COUNTY,1406
36,2022-01-01,01073,AL,ALABAMA,JEFFERSON COUNTY,31581
37,2022-01-01,01075,AL,ALABAMA,LAMAR COUNTY,593
38,2022-01-01,01077,AL,ALABAMA,LAUDERDALE COUNTY,2082
39,2022-01-01,01079,AL,ALABAMA,LAWRENCE COUNTY,1167
40,2022-01-01,01081,AL,ALABAMA,LEE COUNTY,5127
41,2022-01-01,01083,AL,ALABAMA,LIMESTONE COUNTY,2471
42,2022-01-01,01085,AL,ALABAMA,LOWNDES COUNTY,720
43,2022-01-01,01087,AL,ALABAMA,MACON COUNTY,1379
44,2022-01-01,01089,AL,ALABAMA,MADISON COUNTY,6984
45,2022-01-01,01091,AL,ALABAMA,MARENGO COUNTY,1004
46,2022-01-01,01093,AL,ALABAMA,MARION COUNTY,900
47,2022-01-01,01095,AL,ALABAMA,MARSHALL COUNTY,4499
48,2022-01-01,01097,AL,ALABAMA,MOBILE COUNTY,17526
49,2022-01-01,01099,AL,ALABAMA,MONROE COUNTY,692
50,2022-01-01,01101,AL,ALABAMA,MONTGOMERY COUNTY,18318
51,2022-01-01,01103,AL,ALABAMA,MORGAN COUNTY,4890
52,2022-01-01,01105,AL,ALABAMA,PERRY COUNTY,1060
53,2022-01-01,01107,AL,ALABAMA,PICKENS COUNTY,656
54,2022-01-01,01109,AL,ALABAMA,PIKE COUNTY,1529
55,2022-01-01,01111,AL,ALABAMA,RANDOLPH COUNTY,857
56,2022-01-01,01113,AL,ALABAMA,RUSSELL COUNTY,2028
57,2022-01-01,01115,AL,ALABAMA,ST. CLAIR COUNTY,1796
58,2022-01-01,01117,AL,ALABAMA,SHELBY COUNTY,2986
59,2022-01-01,01119,AL,ALABAMA,SUMTER COUNTY,941
60,2022-01-01,01121,AL,ALABAMA,TALLADEGA COUNTY,4976
61,2022-01-01,01123,AL,ALABAMA,TALLAPOOSA COUNTY,2362
62,2022-01-01,01125,AL,ALABAMA,TUSCALOOSA COUNTY,4968
63,2022-01-01,01127,AL,ALABAMA,WALKER COUNTY,2773
64,2022-01-01,01129,AL,ALABAMA,WASHINGTON COUNTY,405
65,2022-01-01,01131,AL,ALABAMA,WILCOX COUNTY,921
66,2022-01-01,01133,AL,ALABAMA,WINSTON COUNTY,514
67,2022-01-01,01,AL,ALABAMA,**NOT AVAILABLE**,395
68,2022-01-01,02013,AK,ALASKA,ALEUTIANS EAST BOROUGH,14
69,2022-01-01,02020,AK,ALASKA,ANCHORAGE MUNICIPALITY,3768
70,2022-01-01,02050,AK,ALASKA,BETHEL CENSUS AREA,126
71,2022-01-01,02070,AK,ALASKA,DILLINGHAM CENSUS AREA,113
72,2022-01-01,02090,AK,ALASKA,FAIRBANKS NORTH STAR BOROUGH,637
73,2022-01-01,02100,AK,ALASKA,HAINES BOROUGH,45
74,2022-01-01,02110,AK,ALASKA,JUNEAU CITY AND BOROUGH,248
75,2022-01-01,02122,AK,ALASKA,KENAI PENINSULA BOROUGH,587
76,2022-01-01,02130,AK,ALASKA,KETCHIKAN GATEWAY BOROUGH,155
77,2022-01-01,02150,AK,ALASKA,KODIAK ISLAND BOROUGH,109
78,2022-01-01,02170,AK,ALASKA,MATANUSKA-SUSITNA BOROUGH,614
79,2022-01-01,02180,AK,ALASKA,NOME CENSUS AREA,32
80,2022-01-01,02185,AK,ALASKA,NORTH SLOPE BOROUGH,11
81,2022-01-01,02195,AK,ALASKA,PETERSBURG CENSUS AREA,21
82,2022-01-01,02198,AK,ALASKA,PRINCE OF WALES-HYDER CENSUS AREA,197
83,2022-01-01,02220,AK,ALASKA,SITKA CITY AND BOROUGH,60
84,2022-01-01,02230,AK,ALASKA,SKAGWAY MUNICIPALITY,12
85,2022-01-01,02240,AK,ALASKA,SOUTHEAST FAIRBANKS CENSUS AREA,80
86,2022-01-01,02261,AK,ALASKA,VALDEZ-CORDOVA CENSUS AREA,117
