FIPS,Jan22 SNAP Households,Jan22 ACP Total Households,State,State Name,County Name,Oct22 ACP Total Households,Latest SNAP to ACP Difference
08001,25542,10338,CO,COLORADO,ADAMS COUNTY,15650,9892
08003,2411,728,CO,COLORADO,ALAMOSA COUNTY,1590,821
08005,27140,10682,CO,COLORADO,ARAPAHOE COUNTY,16426,10714
08007,777,71,CO,COLORADO,ARCHULETA COUNTY,119,658
08009,323,43,CO,COLORADO,BACA COUNTY,89,234
08011,522,213,CO,COLORADO,BENT COUNTY,346,176
08013,9494,4119,CO,COLORADO,BOULDER COUNTY,6111,3383
08014,1400,454,CO,COLORADO,BROOMFIELD COUNTY,764,636
08015,952,207,CO,COLORADO,CHAFFEE COUNTY,480,472
08017,85,6,CO,COLORADO,CHEYENNE COUNTY,13,72
08019,339,103,CO,COLORADO,CLEAR CREEK COUNTY,173,166
08021,821,93,CO,COLORADO,CONEJOS COUNTY,277,544
08023,660,47,CO,COLORADO,COSTILLA COUNTY,241,419
08025,527,113,CO,COLORADO,CROWLEY COUNTY,169,358
08027,264,32,CO,COLORADO,CUSTER COUNTY,52,212
08029,2182,711,CO,COLORADO,DELTA COUNTY,1168,1014
08031,42910,20689,CO,COLORADO,DENVER COUNTY,30854,12056
08033,135,9,CO,COLORADO,DOLORES COUNTY,23,112
08035,3549,1241,CO,COLORADO,DOUGLAS COUNTY,2168,1381
08037,674,127,CO,COLORADO,EAGLE COUNTY,199,475
08039,406,77,CO,COLORADO,ELBERT COUNTY,148,258
08041,37703,14249,CO,COLORADO,EL PASO COUNTY,22737,14966
08043,3943,1705,CO,COLORADO,FREMONT COUNTY,2960,983
08045,2098,621,CO,COLORADO,GARFIELD COUNTY,878,1220
08047,272,28,CO,COLORADO,GILPIN COUNTY,62,210
08049,243,66,CO,COLORADO,GRAND COUNTY,103,140
08051,593,159,CO,COLORADO,GUNNISON COUNTY,312,281
08053,11,0,CO,COLORADO,HINSDALE COUNTY,2,9
08055,992,367,CO,COLORADO,HUERFANO COUNTY,640,352
08057,58,4,CO,COLORADO,JACKSON COUNTY,12,46
08059,16989,7766,CO,COLORADO,JEFFERSON COUNTY,11625,5364
08061,96,8,CO,COLORADO,KIOWA COUNTY,17,79
08063,416,39,CO,COLORADO,KIT CARSON COUNTY,100,316
08065,260,115,CO,COLORADO,LAKE COUNTY,252,8
08067,2295,654,CO,COLORADO,LA PLATA COUNTY,1183,1112
08069,13963,4759,CO,COLORADO,LARIMER COUNTY,7383,6580
08071,1829,524,CO,COLORADO,LAS ANIMAS COUNTY,1106,723
08073,349,49,CO,COLORADO,LINCOLN COUNTY,71,278
08075,1447,736,CO,COLORADO,LOGAN COUNTY,1160,287
08077,9792,5480,CO,COLORADO,MESA COUNTY,9209,583
08079,38,2,CO,COLORADO,MINERAL COUNTY,5,33
08081,750,357,CO,COLORADO,MOFFAT COUNTY,553,197
08083,2284,447,CO,COLORADO,MONTEZUMA COUNTY,717,1567
08085,2738,949,CO,COLORADO,MONTROSE COUNTY,1532,1206
08087,1566,679,CO,COLORADO,MORGAN COUNTY,1114,452
08089,2269,1190,CO,COLORADO,OTERO COUNTY,1931,338
