,Data Month,FIPS,State,State Name,County Name,Oct22 ACP Total Households
29437,2022-10-01,01001,AL,ALABAMA,AUTAUGA COUNTY,2985
29438,2022-10-01,01003,AL,ALABAMA,BALDWIN COUNTY,3759
29439,2022-10-01,01005,AL,ALABAMA,BARBOUR COUNTY,2830
29440,2022-10-01,01007,AL,ALABAMA,BIBB COUNTY,727
29441,2022-10-01,01009,AL,ALABAMA,BLOUNT COUNTY,1875
29442,2022-10-01,01011,AL,ALABAMA,BULLOCK COUNTY,622
29443,2022-10-01,01013,AL,ALABAMA,BUTLER COUNTY,2022
29444,2022-10-01,01015,AL,ALABAMA,CALHOUN COUNTY,5668
29445,2022-10-01,01017,AL,ALABAMA,CHAMBERS COUNTY,3449
29446,2022-10-01,01019,AL,ALABAMA,CHEROKEE COUNTY,1095
29447,2022-10-01,01021,AL,ALABAMA,CHILTON COUNTY,1352
29448,2022-10-01,01023,AL,ALABAMA,CHOCTAW COUNTY,761
29449,2022-10-01,01025,AL,ALABAMA,CLARKE COUNTY,1867
29450,2022-10-01,01027,AL,ALABAMA,CLAY COUNTY,660
29451,2022-10-01,01029,AL,ALABAMA,CLEBURNE COUNTY,345
29452,2022-10-01,01031,AL,ALABAMA,COFFEE COUNTY,3247
29453,2022-10-01,01033,AL,ALABAMA,COLBERT COUNTY,2923
29454,2022-10-01,01035,AL,ALABAMA,CONECUH COUNTY,713
29455,2022-10-01,01037,AL,ALABAMA,COOSA COUNTY,642
29456,2022-10-01,01039,AL,ALABAMA,COVINGTON COUNTY,1771
29457,2022-10-01,01041,AL,ALABAMA,CRENSHAW COUNTY,706
29458,2022-10-01,01043,AL,ALABAMA,CULLMAN COUNTY,4454
29459,2022-10-01,01045,AL,ALABAMA,DALE COUNTY,3701
29460,2022-10-01,01047,AL,ALABAMA,DALLAS COUNTY,6246
29461,2022-10-01,01049,AL,ALABAMA,DEKALB COUNTY,3746
29462,2022-10-01,01051,AL,ALABAMA,ELMORE COUNTY,4546
29463,2022-10-01,01053,AL,ALABAMA,ESCAMBIA COUNTY,2136
29464,2022-10-01,01055,AL,ALABAMA,ETOWAH COUNTY,6001
29465,2022-10-01,01057,AL,ALABAMA,FAYETTE COUNTY,900
