,Column Name,Label,Table Name,Table Description
32,S1702_C01_001E,Estimate!!Total!!All families!!Families,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
33,S1702_C01_002E,Estimate!!Total!!All families!!Families!!With related children of householder under 18 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
34,S1702_C01_003E,Estimate!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
35,S1702_C01_004E,Estimate!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
36,S1702_C01_005E,Estimate!!Total!!All families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
37,S1702_C01_006E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
38,S1702_C01_007E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
39,S1702_C01_008E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
40,S1702_C01_009E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
41,S1702_C01_010E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
42,S1702_C01_011E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
43,S1702_C01_012E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
44,S1702_C01_013E,Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
45,S1702_C01_014E,"Estimate!!Total!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
46,S1702_C01_015E,Estimate!!Total!!All families!!Families!!Householder worked,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
47,S1702_C01_016E,"Estimate!!Total!!All families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
48,S1702_C01_017E,Estimate!!Total!!All families!!Families!!Householder 65 years and over,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
49,S1702_C01_018E,Estimate!!Total!!All families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
50,S1702_C01_019E,Estimate!!Total!!All families!!Families!!Family received --!!Social security income in the past 12 months,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
51,S1702_C01_020E,Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
52,S1702_C01_021E,Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
53,S1702_C01_022E,"Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
54,S1702_C01_023E,Estimate!!Total!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
55,S1702_C01_024E,Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
