"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01000","Alabama","3,898,732","0","460,936","15,207","11.8","0.4","3,437,796","15,207","88.2","0.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01001","Autauga County, AL","46,423","0","4,902","625","10.6","1.3","41,521","625","89.4","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01003","Baldwin County, AL","178,310","0","19,391","2,090","10.9","1.2","158,919","2,090","89.1","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01005","Barbour County, AL","16,265","0","2,337","310","14.4","1.9","13,928","310","85.6","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01007","Bibb County, AL","16,121","0","2,097","282","13.0","1.7","14,024","282","87.0","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01009","Blount County, AL","46,444","0","6,156","701","13.3","1.5","40,288","701","86.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01011","Bullock County, AL","6,323","0","782","115","12.4","1.8","5,541","115","87.6","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01013","Butler County, AL","14,720","0","1,985","260","13.5","1.8","12,735","260","86.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01015","Calhoun County, AL","88,441","0","11,431","1,279","12.9","1.4","77,010","1,279","87.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01017","Chambers County, AL","25,122","0","3,321","425","13.2","1.7","21,801","425","86.8","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01019","Cherokee County, AL","19,650","0","2,524","328","12.8","1.7","17,126","328","87.2","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01021","Chilton County, AL","35,858","0","5,473","653","15.3","1.8","30,385","653","84.7","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01023","Choctaw County, AL","9,131","0","1,157","152","12.7","1.7","7,974","152","87.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01025","Clarke County, AL","17,732","0","2,429","305","13.7","1.7","15,303","305","86.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01027","Clay County, AL","10,043","0","1,444","196","14.4","2.0","8,599","196","85.6","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01029","Cleburne County, AL","11,712","0","1,581","200","13.5","1.7","10,131","200","86.5","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01031","Coffee County, AL","43,083","0","5,900","619","13.7","1.4","37,183","619","86.3","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01033","Colbert County, AL","43,414","0","4,539","591","10.5","1.4","38,875","591","89.5","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01035","Conecuh County, AL","8,643","0","982","142","11.4","1.6","7,661","142","88.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01037","Coosa County, AL","7,630","0","893","130","11.7","1.7","6,737","130","88.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01039","Covington County, AL","28,272","0","3,419","432","12.1","1.5","24,853","432","87.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01041","Crenshaw County, AL","10,715","0","1,383","177","12.9","1.7","9,332","177","87.1","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01043","Cullman County, AL","67,425","0","9,486","1,023","14.1","1.5","57,939","1,023","85.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01045","Dale County, AL","38,739","0","5,364","640","13.8","1.7","33,375","640","86.2","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01047","Dallas County, AL","27,282","0","3,137","410","11.5","1.5","24,145","410","88.5","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01049","DeKalb County, AL","57,518","0","10,945","1,074","19.0","1.9","46,573","1,074","81.0","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01051","Elmore County, AL","64,434","0","7,016","841","10.9","1.3","57,418","841","89.1","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01053","Escambia County, AL","26,627","0","3,845","477","14.4","1.8","22,782","477","85.6","1.8"
