State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income
0,0,US,United States,38371394,11.9,11204423,15.7,7798566,14.9,67340
1,0,AL,Alabama,714568,14.9,222934,20.9,152810,19.7,53958
1,1,AL,Autauga County,6242,11.2,1912,14.9,1378,14.5,67565
1,3,AL,Baldwin County,20189,8.9,5907,12.4,4192,11.8,71135
1,5,AL,Barbour County,5548,25.5,1857,37.5,1303,35.8,38866
1,7,AL,Bibb County,3549,17.8,941,21.9,681,22.1,50907
1,9,AL,Blount County,7525,13.1,2456,18.9,1515,15.8,55203
1,11,AL,Bullock County,2552,30.8,790,38.7,547,37.0,33124
1,13,AL,Butler County,3954,20.6,1306,30.8,934,29.8,42268
1,15,AL,Calhoun County,15915,14.5,3963,16.7,2885,16.7,50259
1,17,AL,Chambers County,5266,16.3,1731,26.2,1266,26.1,39318
1,19,AL,Cherokee County,3827,14.7,1115,23.3,795,22.2,50388
1,21,AL,Chilton County,6094,13.9,2177,21.0,1504,19.7,52693
1,23,AL,Choctaw County,2506,20.4,699,28.9,493,27.9,41649
1,25,AL,Clarke County,4471,19.5,1404,28.7,1025,28.3,44178
1,27,AL,Clay County,1818,14.2,623,23.8,449,23.6,44763
1,29,AL,Cleburne County,2099,14.2,654,19.5,460,19.0,50134
1,31,AL,Coffee County,7303,13.9,2523,20.6,1755,19.3,54203
1,33,AL,Colbert County,7864,14.4,2381,20.9,1670,20.3,54185
1,35,AL,Conecuh County,2701,22.9,833,35.1,590,33.2,34664
1,37,AL,Coosa County,1808,17.4,490,28.8,329,26.5,46509
1,39,AL,Covington County,6219,17.1,1795,22.6,1261,21.6,43544
1,41,AL,Crenshaw County,2262,16.8,777,25.6,553,24.3,45927
1,43,AL,Cullman County,10381,12.5,3196,17.4,2265,17.0,51844
1,45,AL,Dale County,7440,15.5,2872,26.1,1960,25.2,48493
1,47,AL,Dallas County,9471,26.7,3476,42.3,2366,38.6,37679
1,49,AL,DeKalb County,10778,15.2,3407,20.2,2417,19.2,47156
1,51,AL,Elmore County,8972,11.5,2956,16.6,2123,16.1,62524
1,53,AL,Escambia County,6892,20.4,2074,26.1,1471,25.6,41212
1,55,AL,Etowah County,15650,15.6,4889,22.9,3535,22.9,47872
1,57,AL,Fayette County,2640,16.5,801,23.7,560,22.6,45937
1,59,AL,Franklin County,5357,17.2,1748,22.9,1186,21.7,40448
1,61,AL,Geneva County,5492,21.0,1800,32.0,1304,31.1,39882
