,FIPS,Jan22 SNAP Households
0,01001,3545.0
1,01003,9474.0
2,01005,2848.0
3,01007,1706.0
4,01009,3004.0
5,01011,1297.0
6,01013,2486.0
7,01015,10048.0
8,01017,3443.0
9,01019,1851.0
10,01021,3512.0
11,01023,1606.0
12,01025,2856.0
13,01027,799.0
14,01029,1273.0
15,01031,3563.0
16,01033,3841.0
17,01035,1539.0
18,01037,966.0
19,01039,3520.0
20,01041,1579.0
21,01043,4374.0
22,01045,4719.0
23,01047,6973.0
24,01049,5824.0
25,01051,4485.0
26,01053,3736.0
27,01055,8241.0
28,01057,1710.0
29,01059,2346.0
30,01061,2350.0
31,01063,1324.0
32,01065,2044.0
33,01067,1575.0
34,01069,10035.0
35,01071,3358.0
36,01073,53743.0
37,01075,1249.0
38,01077,5413.0
39,01079,2655.0
40,01081,8189.0
41,01083,3502.0
42,01085,1844.0
43,01087,2426.0
44,01089,18300.0
45,01091,2597.0
46,01093,2613.0
47,01095,6328.0
48,01097,39903.0
49,01099,1905.0
50,01101,25483.0
51,01103,7621.0
52,01105,1885.0
53,01107,1811.0
54,01109,3354.0
55,01111,2295.0
56,01113,5492.0
57,01115,5202.0
58,01117,5819.0
59,01119,1808.0
60,01121,7066.0
61,01123,3692.0
62,01125,12177.0
63,01127,5117.0
64,01129,1538.0
65,01131,2209.0
66,01133,1582.0
67,02110,43481.0
68,04001,8657.0
69,04003,9996.0
70,04005,7031.0
71,04007,4361.0
72,04009,2291.0
73,04011,265.0
74,04013,192148.0
75,04015,16252.0
76,04017,10325.0
77,04019,64411.0
78,04021,20377.0
79,04023,4237.0
80,04025,9777.0
81,04027,15747.0
82,04029,1475.0
83,05001,1073.0
84,05003,1551.0
85,05005,1918.0
86,05007,5197.0
87,05009,1806.0
88,05011,908.0
89,05013,256.0
90,05015,852.0
91,05017,1254.0
92,05019,1147.0
93,05021,879.0
94,05023,1353.0
95,05025,442.0
96,05027,1728.0
97,05029,1272.0
98,05031,5678.0
99,05033,2772.0
100,05035,4009.0
101,05037,975.0
102,05039,466.0
103,05041,1218.0
104,05043,1298.0
105,05045,4262.0
106,05047,782.0
107,05049,848.0
108,05051,5750.0
109,05053,651.0
110,05055,2698.0
111,05057,1330.0
112,05059,1376.0
113,05061,791.0
114,05063,1519.0
115,05065,861.0
116,05067,1366.0
117,05069,6364.0
118,05071,1546.0
119,05073,482.0
120,05075,1132.0
121,05077,1109.0
122,05079,824.0
123,05081,752.0
124,05083,1205.0
125,05085,2406.0
126,05087,746.0
127,05089,966.0
128,05091,2765.0
129,05093,3841.0
130,05095,742.0
131,05097,487.0
132,05099,440.0
133,05101,454.0
134,05103,1799.0
135,05105,533.0
136,05107,2796.0
137,05109,624.0
138,05111,1998.0
139,05113,1256.0
140,05115,2151.0
141,05117,417.0
142,05119,22919.0
143,05121,1111.0
144,05123,2512.0
145,05125,2663.0
146,05127,810.0
147,05129,486.0
148,05131,7653.0
149,05133,958.0
150,05135,1219.0
151,05137,839.0
152,05139,2568.0
153,05141,893.0
154,05143,5776.0
155,05145,3898.0
156,05147,620.0
157,05149,962.0
158,05159,0.0
159,06001,90928.0
160,06003,63.0
161,06005,1771.0
162,06007,19748.0
163,06009,2982.0
164,06011,1095.0
165,06013,49262.0
166,06015,3385.0
167,06017,7422.0
168,06019,104302.0
169,06021,1829.0
170,06023,14790.0
171,06025,18713.0
172,06027,1194.0
173,06029,72076.0
174,06031,11798.0
175,06033,8187.0
176,06035,1894.0
177,06037,816595.0
178,06039,13077.0
179,06041,8511.0
180,06043,1538.0
181,06045,8221.0
182,06047,25937.0
183,06049,851.0
184,06051,392.0
185,06053,21231.0
186,06055,4321.0
187,06057,5395.0
188,06059,154442.0
189,06061,11776.0
190,06063,1396.0
191,06065,131527.0
192,06067,123005.0
193,06069,2856.0
194,06071,152210.0
195,06073,215190.0
196,06075,65816.0
197,06077,52395.0
198,06079,12849.0
199,06081,17923.0
200,06083,28538.0
201,06085,70026.0
202,06087,17923.0
203,06089,14682.0
204,06091,195.0
205,06093,4625.0
206,06095,28194.0
207,06097,20368.0
208,06099,37367.0
209,06101,6061.0
210,06103,5605.0
211,06105,1400.0
212,06107,52781.0
213,06109,3498.0
214,06111,36809.0
215,06113,14438.0
216,06115,8156.0
217,08003,2411.0
218,08007,777.0
219,08009,323.0
220,08011,522.0
221,08013,9494.0
222,08015,952.0
223,08017,85.0
224,08019,339.0
225,08021,821.0
226,08023,660.0
227,08025,527.0
228,08027,264.0
229,08029,2182.0
230,08031,42910.0
231,08033,135.0
232,08035,3549.0
233,08037,674.0
234,08039,406.0
235,08041,37703.0
236,08043,3943.0
237,08045,2098.0
238,08047,272.0
239,08049,243.0
240,08051,593.0
241,08053,11.0
242,08055,992.0
243,08057,58.0
244,08059,16989.0
245,08061,96.0
246,08063,416.0
247,08065,260.0
248,08067,2295.0
249,08069,13963.0
250,08071,1829.0
251,08073,349.0
252,08075,1447.0
253,08077,9792.0
254,08079,38.0
255,08081,750.0
256,08083,2284.0
257,08085,2738.0
258,08087,1566.0
259,08089,2269.0
260,08091,117.0
261,08093,737.0
262,08095,220.0
263,08097,193.0
264,08099,1340.0
265,08101,20986.0
266,08103,324.0
267,08105,1200.0
268,08107,341.0
269,08109,718.0
270,08111,24.0
271,08113,162.0
272,08115,207.0
273,08117,443.0
274,08119,1285.0
275,08121,265.0
276,08123,14107.0
277,08125,575.0
278,08127,25542.0
279,08129,27140.0
280,08131,1400.0
281,09000,215898.0
282,10001,15178.0
283,10002,34765.0
284,10003,8825.0
285,11001,90324.0
286,12001,17764.0
287,12003,1907.0
288,12005,11978.0
289,12007,2285.0
290,12009,33784.0
291,12011,130413.0
292,12013,1169.0
293,12015,7591.0
294,12017,10815.0
295,12019,9507.0
296,12021,9884.0
297,12023,6841.0
298,12025,360219.0
299,12027,2458.0
300,12029,1837.0
301,12031,79690.0
302,12033,25183.0
303,12035,5943.0
304,12037,763.0
305,12039,5414.0
306,12041,1402.0
307,12045,974.0
308,12047,1224.0
309,12049,2307.0
310,12051,4561.0
311,12053,14374.0
312,12055,9272.0
313,12057,106522.0
314,12059,1936.0
315,12061,7944.0
316,12063,4089.0
317,12065,976.0
318,12067,443.0
319,12069,21881.0
320,12071,41931.0
321,12073,19580.0
322,12075,3805.0
323,12077,616.0
324,12079,1512.0
325,12081,17582.0
326,12083,29045.0
327,12085,5570.0
328,12087,4100.0
329,12089,3557.0
330,12091,8361.0
331,12093,3772.0
332,12095,103500.0
333,12097,35659.0
334,12099,79983.0
335,12101,33600.0
336,12103,54935.0
337,12105,66547.0
338,12107,8397.0
339,12109,6569.0
340,12111,21633.0
341,12113,7116.0
342,12115,14125.0
343,12117,21519.0
344,12119,4532.0
345,12121,4074.0
346,12123,2413.0
347,12125,1007.0
348,12127,40778.0
349,12129,1651.0
350,12131,3054.0
351,12133,1621.0
352,13001,1847.0
353,13003,882.0
354,13005,1168.0
355,13007,466.0
356,13009,4175.0
357,13011,1099.0
358,13013,4761.0
359,13015,7080.0
360,13017,2172.0
361,13019,1846.0
362,13021,20885.0
363,13023,1117.0
364,13025,1933.0
365,13027,1889.0
366,13029,1807.0
367,13031,6602.0
368,13033,2961.0
369,13035,2097.0
370,13037,745.0
371,13039,2918.0
372,13043,1182.0
373,13045,9150.0
374,13047,3594.0
375,13049,980.0
376,13051,23025.0
377,13053,392.0
378,13055,2885.0
379,13057,6103.0
380,13059,8395.0
381,13061,527.0
382,13063,35757.0
383,13065,805.0
384,13067,31199.0
385,13069,4464.0
386,13071,5265.0
387,13073,4568.0
388,13075,1870.0
389,13077,6825.0
390,13079,1071.0
391,13081,3177.0
392,13083,898.0
393,13085,1026.0
394,13087,3666.0
395,13089,65120.0
396,13091,2379.0
397,13093,1240.0
398,13095,14758.0
399,13097,11171.0
400,13099,1671.0
401,13100,290.0
402,13103,2880.0
403,13105,2124.0
404,13107,3055.0
405,13109,1173.0
406,13111,1389.0
407,13113,3012.0
408,13115,8159.0
409,13117,3337.0
410,13119,1997.0
411,13121,88610.0
412,13123,1736.0
413,13125,240.0
414,13127,6613.0
415,13129,3780.0
416,13131,2581.0
417,13133,1314.0
418,13135,41480.0
419,13137,2495.0
420,13139,8947.0
421,13141,1002.0
422,13143,2791.0
423,13145,1339.0
424,13147,2091.0
425,13149,1078.0
426,13151,15687.0
427,13153,10474.0
428,13155,932.0
429,13157,3394.0
430,13159,1101.0
431,13161,1652.0
432,13163,1961.0
433,13165,1110.0
434,13167,1061.0
435,13169,1870.0
436,13171,1860.0
437,13173,1050.0
438,13175,6247.0
439,13177,1976.0
440,13179,4921.0
441,13181,647.0
442,13183,1315.0
443,13185,11268.0
444,13187,1569.0
445,13189,2513.0
446,13191,1202.0
447,13193,1504.0
448,13195,2065.0
449,13197,914.0
450,13199,2355.0
451,13201,707.0
452,13205,3038.0
453,13207,1761.0
454,13209,858.0
455,13211,1261.0
456,13213,3537.0
457,13215,22028.0
458,13217,10144.0
459,13219,763.0
460,13221,993.0
461,13223,7798.0
462,13225,2798.0
463,13227,1694.0
464,13229,1759.0
465,13231,1006.0
466,13233,4334.0
467,13235,931.0
468,13237,1705.0
469,13239,317.0
470,13241,858.0
471,13243,1158.0
472,13245,23224.0
473,13247,7739.0
474,13249,415.0
475,13251,1700.0
476,13253,1227.0
477,13255,8097.0
478,13257,2640.0
479,13259,677.0
480,13261,4594.0
481,13263,779.0
482,13265,194.0
483,13267,1992.0
484,13269,1034.0
485,13271,1530.0
486,13273,1550.0
487,13275,4801.0
488,13277,4521.0
489,13279,3296.0
490,13281,564.0
491,13283,855.0
492,13285,6754.0
493,13287,1236.0
494,13289,997.0
495,13291,1050.0
496,13293,3610.0
497,13295,4916.0
498,13297,5817.0
499,13299,4438.0
500,13301,743.0
501,13303,2232.0
502,13305,2933.0
503,13307,297.0
504,13309,597.0
505,13311,1457.0
506,13313,6569.0
507,13315,917.0
508,13317,1177.0
509,13319,1023.0
510,13321,2285.0
511,14000,13137.0
512,15001,22848.0
513,15003,55008.0
514,15007,4897.0
515,15009,10499.0
516,16000,60837.0
517,17001,8283.0
518,17003,0.0
519,17005,0.0
520,17011,3432.0
521,17012,1616.0
522,17015,0.0
523,17017,1628.0
524,17019,16561.0
525,17021,3118.0
526,17025,0.0
527,17027,0.0
528,17029,13862.0
529,17031,520859.0
530,17033,1992.0
531,17037,7025.0
532,17041,0.0
533,17043,37508.0
534,17045,0.0
535,17049,0.0
536,17051,0.0
537,17055,5559.0
538,17057,2908.0
539,17061,0.0
540,17065,0.0
541,17067,0.0
542,17073,3664.0
543,17075,0.0
544,17077,8057.0
545,17081,5740.0
546,17083,2891.0
547,17085,0.0
548,17089,39151.0
549,17091,13715.0
550,17093,0.0
551,17095,5318.0
552,17097,36546.0
553,17099,10915.0
554,17101,0.0
555,17105,0.0
556,17107,4334.0
557,17109,2378.0
558,17111,9871.0
559,17113,13523.0
560,17115,13580.0
561,17117,3595.0
562,17119,22496.0
563,17121,8070.0
564,17123,0.0
565,17125,1172.0
566,17127,2033.0
567,17135,2988.0
568,17137,4184.0
569,17139,0.0
570,17141,4967.0
571,17143,21778.0
572,17149,0.0
573,17151,0.0
574,17153,2026.0
575,17157,3041.0
576,17159,4010.0
577,17161,13121.0
578,17163,27934.0
579,17165,4845.0
580,17167,19388.0
581,17169,0.0
582,17173,0.0
583,17177,5316.0
584,17179,9460.0
585,17181,2569.0
586,17183,10274.0
587,17185,2770.0
588,17187,2585.0
589,17193,0.0
590,17195,5792.0
591,17197,35656.0
592,17199,7348.0
593,17201,37997.0
594,18001,807.0
595,18003,16179.0
596,18005,2588.0
597,18007,352.0
598,18009,674.0
599,18011,1013.0
600,18013,338.0
601,18015,532.0
602,18017,1732.0
603,18019,3991.0
604,18021,1156.0
605,18023,1206.0
606,18025,422.0
607,18027,1033.0
608,18029,1420.0
609,18031,909.0
610,18033,1208.0
611,18035,6736.0
612,18037,746.0
613,18039,5857.0
614,18041,1995.0
615,18043,2898.0
616,18045,603.0
617,18047,617.0
618,18049,754.0
619,18051,1059.0
620,18053,4684.0
621,18055,1451.0
622,18057,3519.0
623,18059,1601.0
624,18061,1120.0
625,18063,2619.0
626,18065,2522.0
627,18067,4979.0
628,18069,1246.0
629,18071,1630.0
630,18073,1135.0
631,18075,811.0
632,18077,1308.0
633,18079,977.0
634,18081,4118.0
635,18083,1936.0
636,18085,1878.0
637,18087,603.0
638,18089,29326.0
639,18091,5849.0
640,18093,1721.0
641,18095,8083.0
642,18097,64705.0
643,18099,1202.0
644,18101,486.0
645,18103,1700.0
646,18105,4009.0
647,18107,1447.0
648,18109,2442.0
649,18111,555.0
650,18113,1052.0
651,18115,158.0
652,18117,910.0
653,18119,921.0
654,18121,720.0
655,18123,719.0
656,18125,545.0
657,18127,4530.0
658,18129,851.0
659,18131,463.0
660,18133,1153.0
661,18135,1119.0
662,18137,843.0
663,18139,658.0
664,18141,12644.0
665,18143,1434.0
666,18145,1742.0
667,18147,583.0
668,18149,1220.0
669,18151,864.0
670,18153,937.0
671,18155,467.0
672,18157,6377.0
673,18159,356.0
674,18161,275.0
675,18163,9455.0
676,18165,747.0
677,18167,6608.0
678,18169,1057.0
679,18171,200.0
680,18173,1125.0
681,18175,989.0
682,18177,4501.0
683,18179,729.0
684,18181,747.0
685,18183,651.0
686,19001,254.0
687,19003,147.0
688,19005,414.0
689,19007,819.0
690,19009,218.0
691,19011,840.0
692,19013,7881.0
693,19015,796.0
694,19017,518.0
695,19019,664.0
696,19021,671.0
697,19023,418.0
698,19025,320.0
699,19027,664.0
700,19029,691.0
701,19031,413.0
702,19033,2185.0
703,19035,332.0
704,19037,277.0
705,19039,439.0
706,19041,659.0
707,19043,494.0
708,19045,3041.0
709,19047,574.0
710,19049,1354.0
711,19051,242.0
712,19053,420.0
713,19055,471.0
714,19057,2784.0
715,19059,503.0
716,19061,3933.0
717,19063,333.0
718,19065,1074.0
719,19067,771.0
720,19069,370.0
721,19071,322.0
722,19073,440.0
723,19075,238.0
724,19077,358.0
725,19079,475.0
726,19081,290.0
727,19083,711.0
