,FIPS Code,JUL21 SNAP Households
0,01001,3522
1,01003,9311
2,01005,2778
3,01007,1696
4,01009,2911
5,01011,1267
6,01013,2490
7,01015,9599
8,01017,3353
9,01019,1808
10,01021,3443
11,01023,1604
12,01025,2818
13,01027,785
14,01029,1233
15,01031,3506
16,01033,3889
17,01035,1542
18,01037,929
19,01039,3316
20,01041,1552
21,01043,4241
22,01045,4669
23,01047,6909
24,01049,5614
25,01051,4493
26,01053,3749
27,01055,8010
28,01057,1695
29,01059,2321
30,01061,2369
31,01063,1299
32,01065,2035
33,01067,1536
34,01069,9675
35,01071,3228
36,01073,54209
37,01075,1249
38,01077,5412
39,01079,2698
40,01081,7869
41,01083,3493
42,01085,1846
43,01087,2358
44,01089,18557
45,01091,2575
46,01093,2567
47,01095,6233
48,01097,40039
49,01099,1911
50,01101,26030
51,01103,7536
52,01105,1920
53,01107,1796
54,01109,3223
55,01111,2233
56,01113,5477
57,01115,5230
58,01117,5803
59,01119,1829
60,01121,7040
61,01123,3621
62,01125,12069
63,01127,4992
64,01129,1538
65,01131,2208
66,01133,1534
67,02110,40350
68,04001,9104
69,04003,10735
70,04005,7757
71,04007,4618
72,04009,2539
73,04011,337
74,04013,222440
75,04015,17553
76,04017,10985
77,04019,73058
78,04021,23080
79,04023,4452
80,04025,11248
81,04027,16766
82,04029,1562
83,05001,1126
84,05003,1679
85,05005,1970
86,05007,5759
87,05009,1966
88,05011,917
89,05013,264
90,05015,1772
91,05017,1277
92,05019,1222
93,05021,825
94,05023,1358
95,05025,494
96,05027,1856
97,05029,1422
98,05031,5879
99,05033,3000
100,05035,4542
101,05037,1033
102,05039,448
103,05041,1297
104,05043,1353
105,05045,4453
106,05047,821
107,05049,861
108,05051,6252
109,05053,684
110,05055,2785
111,05057,1441
112,05059,2829
113,05061,819
114,05063,3299
115,05065,969
116,05067,1543
117,05069,6587
118,05071,1757
119,05073,983
120,05075,1209
121,05077,1141
122,05079,861
123,05081,749
124,05083,1382
125,05085,2495
126,05087,820
127,05089,1001
128,05091,2926
129,05093,4056
130,05095,805
131,05097,502
132,05099,440
133,05101,505
134,05103,1842
135,05105,570
136,05107,2904
137,05109,652
138,05111,2088
139,05113,1304
140,05115,4490
141,05117,410
142,05119,24727
143,05121,1146
144,05123,2929
145,05125,924
146,05127,465
147,05129,8210
148,05131,1068
149,05133,1234
150,05135,2599
151,05137,879
152,05139,2650
153,05141,947
154,05143,6487
155,05145,4215
156,05147,635
157,05149,1072
158,05159,0
159,06001,82855
160,06003,61
161,06005,1549
162,06007,17220
163,06009,2811
164,06011,1034
165,06013,44966
166,06015,3081
167,06017,6851
168,06019,96303
169,06021,1669
170,06023,13625
171,06025,17998
172,06027,1035
173,06029,73791
174,06031,11241
175,06033,7609
176,06035,1763
177,06037,774913
178,06039,12337
179,06041,8266
180,06043,1411
181,06045,7207
182,06047,24567
183,06049,746
184,06051,409
185,06053,19408
186,06055,4017
187,06057,5166
188,06059,138828
189,06061,10223
190,06063,1286
191,06065,121540
192,06067,115851
193,06069,2678
194,06071,142606
195,06073,200207
196,06075,61141
197,06077,49372
198,06079,11300
199,06081,16910
200,06083,25263
201,06085,63416
202,06087,16832
203,06089,13753
204,06091,169
205,06093,4221
206,06095,25660
207,06097,18951
208,06099,36081
209,06101,5651
210,06103,5247
211,06105,1213
212,06107,48398
213,06109,3109
214,06111,34583
215,06113,12852
216,06115,7343
217,08003,2344
218,08007,750
219,08009,332
220,08011,484
221,08013,8966
222,08015,875
223,08017,104
224,08019,334
225,08021,759
226,08023,752
227,08025,471
228,08027,250
229,08029,2034
230,08031,49971
231,08033,116
232,08035,3163
233,08037,629
234,08039,375
235,08041,36788
236,08043,3726
237,08045,2002
238,08047,254
239,08049,265
240,08051,579
241,08053,11
242,08055,958
243,08057,55
244,08059,16290
245,08061,111
246,08063,370
247,08065,224
248,08067,2208
249,08069,13002
250,08071,1799
251,08073,305
252,08075,1412
253,08077,9512
254,08079,40
255,08081,734
256,08083,2192
257,08085,2534
258,08087,1430
259,08089,2164
260,08091,116
261,08093,677
262,08095,224
263,08097,172
264,08099,1275
265,08101,20405
266,08103,299
267,08105,1174
268,08107,379
269,08109,692
270,08111,26
271,08113,162
272,08115,200
273,08117,402
274,08119,1258
275,08121,231
276,08123,13114
277,08125,540
278,08127,24211
279,08129,25541
280,08131,1282
281,09000,217064
282,10001,14695
