,Geography,Geographic Area Name,Families with No workers in past year,Families receiving food stamps/SNAP with No workers in past year,County,State
0,0500000US01003,"Baldwin County, Alabama",13808,685,Baldwin County, Alabama
1,0500000US01015,"Calhoun County, Alabama",6229,1603,Calhoun County, Alabama
5,0500000US01055,"Etowah County, Alabama",5329,688,Etowah County, Alabama
6,0500000US01069,"Houston County, Alabama",5966,1459,Houston County, Alabama
7,0500000US01073,"Jefferson County, Alabama",25249,6848,Jefferson County, Alabama
8,0500000US01077,"Lauderdale County, Alabama",5171,945,Lauderdale County, Alabama
9,0500000US01081,"Lee County, Alabama",6246,781,Lee County, Alabama
11,0500000US01089,"Madison County, Alabama",14442,1541,Madison County, Alabama
12,0500000US01095,"Marshall County, Alabama",5864,1548,Marshall County, Alabama
13,0500000US01097,"Mobile County, Alabama",18547,5096,Mobile County, Alabama
14,0500000US01101,"Montgomery County, Alabama",10143,2763,Montgomery County, Alabama
15,0500000US01103,"Morgan County, Alabama",6474,1144,Morgan County, Alabama
17,0500000US01117,"Shelby County, Alabama",6950,395,Shelby County, Alabama
18,0500000US01121,"Talladega County, Alabama",5971,1967,Talladega County, Alabama
19,0500000US01125,"Tuscaloosa County, Alabama",9200,1431,Tuscaloosa County, Alabama
20,0500000US02020,"Anchorage Municipality, Alaska",6584,1470,Anchorage Municipality, Alaska
22,0500000US02170,"Matanuska-Susitna Borough, Alaska",4500,374,Matanuska-Susitna Borough, Alaska
23,0500000US04001,"Apache County, Arizona",4445,1740,Apache County, Arizona
24,0500000US04003,"Cochise County, Arizona",7636,1062,Cochise County, Arizona
25,0500000US04005,"Coconino County, Arizona",4946,884,Coconino County, Arizona
26,0500000US04013,"Maricopa County, Arizona",175272,20765,Maricopa County, Arizona
27,0500000US04015,"Mohave County, Arizona",24012,2636,Mohave County, Arizona
28,0500000US04017,"Navajo County, Arizona",7873,1837,Navajo County, Arizona
29,0500000US04019,"Pima County, Arizona",52775,7931,Pima County, Arizona
30,0500000US04021,"Pinal County, Arizona",27438,2963,Pinal County, Arizona
31,0500000US04025,"Yavapai County, Arizona",22737,803,Yavapai County, Arizona
32,0500000US04027,"Yuma County, Arizona",12043,2597,Yuma County, Arizona
33,0500000US05007,"Benton County, Arkansas",11574,1373,Benton County, Arkansas
39,0500000US05119,"Pulaski County, Arkansas",16948,2372,Pulaski County, Arkansas
41,0500000US05131,"Sebastian County, Arkansas",6407,1416,Sebastian County, Arkansas
42,0500000US05143,"Washington County, Arkansas",7148,1010,Washington County, Arkansas
44,0500000US06001,"Alameda County, California",42136,7089,Alameda County, California
45,0500000US06007,"Butte County, California",10751,1734,Butte County, California
46,0500000US06013,"Contra Costa County, California",38479,4278,Contra Costa County, California
47,0500000US06017,"El Dorado County, California",9898,158,El Dorado County, California
48,0500000US06019,"Fresno County, California",33772,10356,Fresno County, California
49,0500000US06023,"Humboldt County, California",6314,975,Humboldt County, California
50,0500000US06025,"Imperial County, California",6303,2380,Imperial County, California
51,0500000US06029,"Kern County, California",33551,11119,Kern County, California
52,0500000US06031,"Kings County, California",5162,1349,Kings County, California
54,0500000US06037,"Los Angeles County, California",274819,65053,Los Angeles County, California
55,0500000US06039,"Madera County, California",5964,1685,Madera County, California
56,0500000US06041,"Marin County, California",9123,791,Marin County, California
58,0500000US06047,"Merced County, California",12220,4173,Merced County, California
59,0500000US06053,"Monterey County, California",13280,1032,Monterey County, California
60,0500000US06055,"Napa County, California",5149,260,Napa County, California
62,0500000US06059,"Orange County, California",95965,9449,Orange County, California
63,0500000US06061,"Placer County, California",21267,1078,Placer County, California
64,0500000US06065,"Riverside County, California",89441,13372,Riverside County, California
65,0500000US06067,"Sacramento County, California",53756,11179,Sacramento County, California
67,0500000US06071,"San Bernardino County, California",69507,15737,San Bernardino County, California
68,0500000US06073,"San Diego County, California",105881,14849,San Diego County, California
69,0500000US06075,"San Francisco County, California",23295,5181,San Francisco County, California
70,0500000US06077,"San Joaquin County, California",23394,6052,San Joaquin County, California
71,0500000US06079,"San Luis Obispo County, California",13849,230,San Luis Obispo County, California
72,0500000US06081,"San Mateo County, California",21052,980,San Mateo County, California
73,0500000US06083,"Santa Barbara County, California",14557,1833,Santa Barbara County, California
74,0500000US06085,"Santa Clara County, California",48659,4763,Santa Clara County, California
75,0500000US06087,"Santa Cruz County, California",9392,596,Santa Cruz County, California
76,0500000US06089,"Shasta County, California",10630,1572,Shasta County, California
77,0500000US06095,"Solano County, California",15024,2303,Solano County, California
78,0500000US06097,"Sonoma County, California",18208,1608,Sonoma County, California
79,0500000US06099,"Stanislaus County, California",16593,4897,Stanislaus County, California
80,0500000US06101,"Sutter County, California",3746,601,Sutter County, California
82,0500000US06107,"Tulare County, California",15894,5519,Tulare County, California
83,0500000US06111,"Ventura County, California",28397,2448,Ventura County, California
84,0500000US06113,"Yolo County, California",5958,922,Yolo County, California
85,0500000US06115,"Yuba County, California",3639,918,Yuba County, California
86,0500000US08001,"Adams County, Colorado",10674,963,Adams County, Colorado
87,0500000US08005,"Arapahoe County, Colorado",16128,2080,Arapahoe County, Colorado
88,0500000US08013,"Boulder County, Colorado",10532,654,Boulder County, Colorado
90,0500000US08031,"Denver County, Colorado",16705,2844,Denver County, Colorado
91,0500000US08035,"Douglas County, Colorado",10892,110,Douglas County, Colorado
92,0500000US08041,"El Paso County, Colorado",23760,2749,El Paso County, Colorado
93,0500000US08059,"Jefferson County, Colorado",21850,1000,Jefferson County, Colorado
94,0500000US08069,"Larimer County, Colorado",14837,648,Larimer County, Colorado
95,0500000US08077,"Mesa County, Colorado",7511,958,Mesa County, Colorado
96,0500000US08101,"Pueblo County, Colorado",9106,2404,Pueblo County, Colorado
97,0500000US08123,"Weld County, Colorado",10543,1369,Weld County, Colorado
