,Geography,Geographic Area Name,Families with No workers in past year,Families receiving food stamps/SNAP with No workers in past year,Gap,County,State
0,0500000US01003,"Baldwin County, Alabama",13808,685,13123,Baldwin County, Alabama
1,0500000US01015,"Calhoun County, Alabama",6229,1603,4626,Calhoun County, Alabama
2,0500000US01055,"Etowah County, Alabama",5329,688,4641,Etowah County, Alabama
3,0500000US01069,"Houston County, Alabama",5966,1459,4507,Houston County, Alabama
4,0500000US01073,"Jefferson County, Alabama",25249,6848,18401,Jefferson County, Alabama
5,0500000US01077,"Lauderdale County, Alabama",5171,945,4226,Lauderdale County, Alabama
6,0500000US01081,"Lee County, Alabama",6246,781,5465,Lee County, Alabama
7,0500000US01089,"Madison County, Alabama",14442,1541,12901,Madison County, Alabama
8,0500000US01095,"Marshall County, Alabama",5864,1548,4316,Marshall County, Alabama
9,0500000US01097,"Mobile County, Alabama",18547,5096,13451,Mobile County, Alabama
10,0500000US01101,"Montgomery County, Alabama",10143,2763,7380,Montgomery County, Alabama
11,0500000US01103,"Morgan County, Alabama",6474,1144,5330,Morgan County, Alabama
12,0500000US01117,"Shelby County, Alabama",6950,395,6555,Shelby County, Alabama
13,0500000US01121,"Talladega County, Alabama",5971,1967,4004,Talladega County, Alabama
14,0500000US01125,"Tuscaloosa County, Alabama",9200,1431,7769,Tuscaloosa County, Alabama
15,0500000US02020,"Anchorage Municipality, Alaska",6584,1470,5114,Anchorage Municipality, Alaska
16,0500000US02170,"Matanuska-Susitna Borough, Alaska",4500,374,4126,Matanuska-Susitna Borough, Alaska
17,0500000US04001,"Apache County, Arizona",4445,1740,2705,Apache County, Arizona
18,0500000US04003,"Cochise County, Arizona",7636,1062,6574,Cochise County, Arizona
19,0500000US04005,"Coconino County, Arizona",4946,884,4062,Coconino County, Arizona
20,0500000US04013,"Maricopa County, Arizona",175272,20765,154507,Maricopa County, Arizona
21,0500000US04015,"Mohave County, Arizona",24012,2636,21376,Mohave County, Arizona
22,0500000US04017,"Navajo County, Arizona",7873,1837,6036,Navajo County, Arizona
23,0500000US04019,"Pima County, Arizona",52775,7931,44844,Pima County, Arizona
24,0500000US04021,"Pinal County, Arizona",27438,2963,24475,Pinal County, Arizona
25,0500000US04025,"Yavapai County, Arizona",22737,803,21934,Yavapai County, Arizona
26,0500000US04027,"Yuma County, Arizona",12043,2597,9446,Yuma County, Arizona
27,0500000US05007,"Benton County, Arkansas",11574,1373,10201,Benton County, Arkansas
28,0500000US05119,"Pulaski County, Arkansas",16948,2372,14576,Pulaski County, Arkansas
29,0500000US05131,"Sebastian County, Arkansas",6407,1416,4991,Sebastian County, Arkansas
30,0500000US05143,"Washington County, Arkansas",7148,1010,6138,Washington County, Arkansas
31,0500000US06001,"Alameda County, California",42136,7089,35047,Alameda County, California
32,0500000US06007,"Butte County, California",10751,1734,9017,Butte County, California
33,0500000US06013,"Contra Costa County, California",38479,4278,34201,Contra Costa County, California
34,0500000US06017,"El Dorado County, California",9898,158,9740,El Dorado County, California
35,0500000US06019,"Fresno County, California",33772,10356,23416,Fresno County, California
36,0500000US06023,"Humboldt County, California",6314,975,5339,Humboldt County, California
37,0500000US06025,"Imperial County, California",6303,2380,3923,Imperial County, California
38,0500000US06029,"Kern County, California",33551,11119,22432,Kern County, California
39,0500000US06031,"Kings County, California",5162,1349,3813,Kings County, California
40,0500000US06037,"Los Angeles County, California",274819,65053,209766,Los Angeles County, California
41,0500000US06039,"Madera County, California",5964,1685,4279,Madera County, California
42,0500000US06041,"Marin County, California",9123,791,8332,Marin County, California
43,0500000US06047,"Merced County, California",12220,4173,8047,Merced County, California
44,0500000US06053,"Monterey County, California",13280,1032,12248,Monterey County, California
45,0500000US06055,"Napa County, California",5149,260,4889,Napa County, California
46,0500000US06059,"Orange County, California",95965,9449,86516,Orange County, California
47,0500000US06061,"Placer County, California",21267,1078,20189,Placer County, California
48,0500000US06065,"Riverside County, California",89441,13372,76069,Riverside County, California
49,0500000US06067,"Sacramento County, California",53756,11179,42577,Sacramento County, California
50,0500000US06071,"San Bernardino County, California",69507,15737,53770,San Bernardino County, California
51,0500000US06073,"San Diego County, California",105881,14849,91032,San Diego County, California
52,0500000US06075,"San Francisco County, California",23295,5181,18114,San Francisco County, California
53,0500000US06077,"San Joaquin County, California",23394,6052,17342,San Joaquin County, California
54,0500000US06079,"San Luis Obispo County, California",13849,230,13619,San Luis Obispo County, California
