"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2201_C01_001E","Estimate!!Total!!Households"
"S2201_C01_001M","Margin of Error!!Total!!Households"
"S2201_C01_001MA","Annotation of Margin of Error!!Total!!Households"
"S2201_C01_001EA","Annotation of Estimate!!Total!!Households"
"S2201_C01_002E","Estimate!!Total!!Households!!With one or more people in the household 60 years and over"
"S2201_C01_002M","Margin of Error!!Total!!Households!!With one or more people in the household 60 years and over"
"S2201_C01_002MA","Annotation of Margin of Error!!Total!!Households!!With one or more people in the household 60 years and over"
"S2201_C01_002EA","Annotation of Estimate!!Total!!Households!!With one or more people in the household 60 years and over"
"S2201_C01_003E","Estimate!!Total!!Households!!No people in the household 60 years and over"
"S2201_C01_003M","Margin of Error!!Total!!Households!!No people in the household 60 years and over"
"S2201_C01_003MA","Annotation of Margin of Error!!Total!!Households!!No people in the household 60 years and over"
"S2201_C01_003EA","Annotation of Estimate!!Total!!Households!!No people in the household 60 years and over"
"S2201_C01_004E","Estimate!!Total!!Households!!Married-couple family"
"S2201_C01_004M","Margin of Error!!Total!!Households!!Married-couple family"
"S2201_C01_004MA","Annotation of Margin of Error!!Total!!Households!!Married-couple family"
"S2201_C01_004EA","Annotation of Estimate!!Total!!Households!!Married-couple family"
"S2201_C01_005E","Estimate!!Total!!Households!!Other family:"
"S2201_C01_005M","Margin of Error!!Total!!Households!!Other family:"
"S2201_C01_005MA","Annotation of Margin of Error!!Total!!Households!!Other family:"
"S2201_C01_005EA","Annotation of Estimate!!Total!!Households!!Other family:"
"S2201_C01_006E","Estimate!!Total!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C01_006M","Margin of Error!!Total!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C01_006MA","Annotation of Margin of Error!!Total!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C01_006EA","Annotation of Estimate!!Total!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C01_007E","Estimate!!Total!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C01_007EA","Annotation of Estimate!!Total!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C01_007M","Margin of Error!!Total!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C01_007MA","Annotation of Margin of Error!!Total!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C01_008E","Estimate!!Total!!Households!!Nonfamily households"
"S2201_C01_008M","Margin of Error!!Total!!Households!!Nonfamily households"
"S2201_C01_008MA","Annotation of Margin of Error!!Total!!Households!!Nonfamily households"
"S2201_C01_008EA","Annotation of Estimate!!Total!!Households!!Nonfamily households"
"S2201_C01_009E","Estimate!!Total!!Households!!With children under 18 years"
"S2201_C01_009EA","Annotation of Estimate!!Total!!Households!!With children under 18 years"
"S2201_C01_009M","Margin of Error!!Total!!Households!!With children under 18 years"
"S2201_C01_009MA","Annotation of Margin of Error!!Total!!Households!!With children under 18 years"
"S2201_C01_010E","Estimate!!Total!!Households!!With children under 18 years!!Married-couple family"
"S2201_C01_010M","Margin of Error!!Total!!Households!!With children under 18 years!!Married-couple family"
"S2201_C01_010MA","Annotation of Margin of Error!!Total!!Households!!With children under 18 years!!Married-couple family"
"S2201_C01_010EA","Annotation of Estimate!!Total!!Households!!With children under 18 years!!Married-couple family"
"S2201_C01_011E","Estimate!!Total!!Households!!With children under 18 years!!Other family:"
"S2201_C01_011EA","Annotation of Estimate!!Total!!Households!!With children under 18 years!!Other family:"
"S2201_C01_011M","Margin of Error!!Total!!Households!!With children under 18 years!!Other family:"
"S2201_C01_011MA","Annotation of Margin of Error!!Total!!Households!!With children under 18 years!!Other family:"
"S2201_C01_012E","Estimate!!Total!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_012M","Margin of Error!!Total!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_012MA","Annotation of Margin of Error!!Total!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_012EA","Annotation of Estimate!!Total!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_013E","Estimate!!Total!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
